CaseID,Dice,Sensitivity,Specificity
BraTS2021_00305,0.9371797727778213,0.9432572739344022,0.9995443076277504
BraTS2021_00306,0.9829780439120972,0.9796148949712,0.9999040062446691
BraTS2021_00309,0.9492412823969641,0.9935237462634642,0.9995266629648984
BraTS2021_00310,0.9373231099118947,0.948860655315987,0.9991660999943935
BraTS2021_00311,0.9591636720023725,0.980476777640269,0.9998602463973868
BraTS2021_00312,0.9833481187280362,0.9859319281580956,0.9997310757322753
BraTS2021_00313,0.909913888275432,0.91019022114218,0.9996316822539101
BraTS2021_00314,0.887596296871681,0.9000045022732429,0.9996808817276033
BraTS2021_00316,0.9710864857978502,0.9698374558301146,0.999890246130922
BraTS2021_00317,0.9777159724946698,0.9897571423634591,0.9997723815250901
BraTS2021_00318,0.9392656323100321,0.9309085818936315,0.998995608542454
BraTS2021_00320,0.8631330504430583,0.8722437898046556,0.9993399402312325
BraTS2021_00321,0.7291896896745231,0.5882324595216903,0.9999413960406167
BraTS2021_00322,0.9752738928131005,0.9726083511287741,0.9996280934028885
BraTS2021_00324,0.9224166111749547,0.9133160708718846,0.9993685399717014
BraTS2021_00325,0.9696302531891122,0.9660160422056981,0.9995788811574396
BraTS2021_00327,0.9629750631715478,0.9580015438367435,0.9996468673806926
BraTS2021_00328,0.9380792828857806,0.9442838370563392,0.999556416044549
BraTS2021_00329,0.9027121902292402,0.864316581305672,0.9998579131906868
BraTS2021_00331,0.0,0.0,0.999999999999999
BraTS2021_00332,0.9219152455059347,0.9161524989893801,0.9997021668821485
BraTS2021_00334,0.9645458561491556,0.9769818310472691,0.9997359219662351
BraTS2021_00336,0.9740885443024834,0.994714864529575,0.9992129001935118
BraTS2021_00338,0.9531378018149889,0.9349090078695076,0.9996532845390308
BraTS2021_00339,0.9719149921824672,0.9937947041825359,0.9995108302587772
BraTS2021_00340,0.7522880720178634,0.6076470944674885,0.9999709949214121
BraTS2021_00341,0.8589258952734787,0.7721076124981815,0.999928115192707
BraTS2021_00343,0.9219534154757788,0.9022909731737803,0.999810393152663
BraTS2021_00344,0.8396365156275308,0.7341960635674977,0.9999391523825656
BraTS2021_00346,0.9671599507957199,0.9825549103759197,0.9997803876742571
BraTS2021_00347,0.9718588395748723,0.976854972296684,0.9996690219349311
BraTS2021_00348,0.9390246754763328,0.9154088193711909,0.9999155632152484
BraTS2021_00349,0.9664785748259087,0.9836943964615098,0.9994658887955566
BraTS2021_00350,0.9743384121891745,0.9912587412585763,0.9997055685987941
BraTS2021_00351,0.9667570543635444,0.9665085692669357,0.9996147264688231
BraTS2021_00352,0.9514890763814101,0.9638215983697161,0.9996912367751286
BraTS2021_00353,0.9663950742448185,0.9830340074452935,0.9995381131782052
BraTS2021_00356,0.9780732215496183,0.991550995775213,0.9998591058811983
BraTS2021_00359,0.9638210211262592,0.9943540781125575,0.999396538019629
BraTS2021_00360,0.9632050538257614,0.9530193637266943,0.9997711762534954
BraTS2021_00364,0.9757341698739272,0.9914418878738661,0.9996562876764833
BraTS2021_00366,0.9552707954647681,0.924898149678559,0.999865838020031
BraTS2021_00367,0.8859213448267099,0.8453099724316095,0.9993743366962207
BraTS2021_00369,0.9855520172512979,0.9943885889501756,0.9994670327146603
BraTS2021_00370,0.969546183410053,0.9756925323052424,0.9996736692558801
BraTS2021_00371,0.967452704348476,0.9950727749939161,0.9994121557905866
BraTS2021_00373,0.9449464569900077,0.9789850212379951,0.9998131335781778
BraTS2021_00375,0.9563318345767756,0.9684249851564094,0.9990289473705185
BraTS2021_00376,0.9600739164518759,0.983818213117294,0.9997427232162825
BraTS2021_00377,0.9494843617918937,0.9176197634138561,0.9999475127447363
BraTS2021_00378,0.9225905833499535,0.9040506129732749,0.9997610773656002
BraTS2021_00379,0.9466553767991117,0.9344125280425221,0.9998985993345276
BraTS2021_00380,0.8299526296606158,0.7248329266991356,0.9999769021344548
BraTS2021_00382,0.923049704825137,0.9275582004639331,0.9995049897662568
BraTS2021_00383,0.9714978976582865,0.981519001511056,0.9996046914324721
BraTS2021_00386,0.9623814419652232,0.9701828565151598,0.9996213505442468
BraTS2021_00387,0.8546051692129504,0.7682275621273524,0.999935230572426
BraTS2021_00388,0.9716571316164513,0.9680232558139007,0.9994853792823295
BraTS2021_00389,0.9659692915503979,0.9729876394326361,0.9999226834346724
BraTS2021_00390,0.9102236620768456,0.856590056284676,0.9999510714016372
BraTS2021_00391,0.9345918078840582,0.9383909156800027,0.9993473311008647
BraTS2021_00392,0.9733080436140662,0.9650556839670172,0.9999036080541316
BraTS2021_00395,0.968188551398395,0.9675310716797304,0.9996392336161743
BraTS2021_00397,0.9650249511824391,0.9754558556299908,0.9991598248713268
BraTS2021_00399,0.9427610493411196,0.9132807948236925,0.9998220648198557
BraTS2021_00400,0.9739025776149336,0.9681021949998346,0.9995190523737387
BraTS2021_00401,0.9349425557343769,0.9843973901088192,0.9981014781486824
BraTS2021_00402,0.9594102238111692,0.9718698814549969,0.9985604737293632
BraTS2021_00403,0.9624302304951128,0.9920103527820312,0.9997223488589304
BraTS2021_00404,0.9460744915887846,0.9140463752915489,0.9996908622221665
BraTS2021_00405,0.967720045871838,0.9950321653339337,0.9989980281576616
BraTS2021_00406,0.9449847705072334,0.9671358137933602,0.9993718834060256
BraTS2021_00407,0.9291491120998177,0.9705354939540207,0.9983634685110755
BraTS2021_00409,0.9541741309902078,0.9770229687122234,0.999032788350043
BraTS2021_00410,0.8655618883070274,0.7924688452485065,0.9997743394048002
BraTS2021_00412,0.9740254750147957,0.9951517292817895,0.9997232189868385
BraTS2021_00413,0.979269754768339,0.993245558761318,0.9996387004031994
BraTS2021_00414,0.9648280681241652,0.9917748023510364,0.999226321878664
BraTS2021_00416,0.9821395771502358,0.9818975223864254,0.999582161219492
BraTS2021_00417,0.9089522074520819,0.8447233229811574,0.9996982488477776
BraTS2021_00418,0.9145176681552031,0.909929549991916,0.9984062724619498
BraTS2021_00419,0.8134404043425585,0.7599565082321342,0.9996072308199018
BraTS2021_00421,0.976707989945409,0.9936740429910935,0.9994106816925593
BraTS2021_00423,0.9487549869307205,0.9437887030002834,0.9996985188186708
BraTS2021_00425,0.959659397395207,0.9662864680319032,0.9998623939366152
BraTS2021_00426,0.9777750826232956,0.9868412999570906,0.9994690778866829
BraTS2021_00429,0.9560569693412979,0.9689181540048171,0.9990791304889041
BraTS2021_00430,0.9565146434823182,0.9643840124452576,0.9996071615099974
BraTS2021_00431,0.9018427074548653,0.8564565938460159,0.9999158297714352
BraTS2021_00432,0.9367387668925966,0.920779486247648,0.9990915098966109
BraTS2021_00433,0.976550424683,0.9861751152070801,0.9998731781301972
BraTS2021_00436,0.9777856259932466,0.9769403129906159,0.9997256836976466
BraTS2021_00440,0.9329561621540312,0.8959607021721304,0.9997366975969627
BraTS2021_00441,0.8913963036889792,0.9742285520513227,0.998946280096332
BraTS2021_00442,0.9335519381659523,0.8860089805715365,0.9999385343758312
BraTS2021_00443,0.8841202858206313,0.9584066118878518,0.9975278631043134
BraTS2021_00444,0.860647823033519,0.9581256718455202,0.9993833310094568
BraTS2021_00445,0.9757169520408674,0.9818776907447535,0.999463585403368
