epoch,train_loss,learning_rate,elapsed_sec,val_dice_tc,val_dice_wt,val_dice_et,val_mean_dice,is_best
32,0.21698488814011216,9.922821672646027e-05,166.75680320000174,,,,,False
33,0.20888899358548224,9.899275261921234e-05,166.9855269999971,,,,,False
34,0.20032285100966693,9.872634363932887e-05,167.31659220000074,,,,,False
35,0.19886586136743425,9.842915805643155e-05,367.98545229999945,0.8578865143627246,0.8547188297665095,0.8087847754478203,0.8404633731923514,True
36,0.20301932164654135,9.81013835793043e-05,166.60487550000107,,,,,False
37,0.20133733702637255,9.774322723733216e-05,167.16305920000013,,,,,False
38,0.1955079597774893,9.735491524973722e-05,167.40422159999798,,,,,False
39,0.19302989391610026,9.693669288269372e-05,166.87122740000268,,,,,False
40,0.19018055916018783,9.648882429441257e-05,368.57266470000104,0.8625164110931174,0.8743187118937764,0.82529157208062,0.8540422316891713,True
41,0.19272800378501415,9.601159236829352e-05,167.13242529999843,,,,,False
42,0.19113670391775667,9.550529853424979e-05,167.1313467,,,,,False
43,0.1864812872596085,9.497026257831855e-05,167.5310795000005,,,,,False
44,0.18658713828027249,9.440682244067724e-05,167.61174590000155,,,,,False
45,0.18544642195105554,9.381533400219318e-05,367.9454560999984,0.8864283017339583,0.8852576459699539,0.834346193819788,0.8686773805079001,True
46,0.18341150523722172,9.319617085964176e-05,167.09028369999942,,,,,False
47,0.1818617199230939,9.254972408973461e-05,167.13049350000074,,,,,False
48,0.17918184433877468,9.18764020021071e-05,166.8953967999987,,,,,False
49,0.18361703924648465,9.117662988142138e-05,167.3070747999991,,,,,False
50,0.1811502934060991,9.045084971874738e-05,367.9300078999986,0.8695290980518455,0.87639583153818,0.840812529825588,0.8622458198052044,False
51,0.17754799268953503,8.969951993239177e-05,167.42712949999986,,,,,False
52,0.17697075234539808,8.892311507835119e-05,167.46235139999771,,,,,False
53,0.1769920629300177,8.81221255505724e-05,167.52615789999982,,,,,False
54,0.17529059850051998,8.729705727120911e-05,167.59537809999892,,,,,False
55,0.17441230608336628,8.644843137107059e-05,368.04838890000246,0.8802464163979055,0.887428004556181,0.8387681925095004,0.8688142044878623,True
56,0.17251021274365486,8.557678386046427e-05,167.44454699999915,,,,,False
57,0.17233064304105938,8.468266529064025e-05,167.38947570000164,,,,,False
58,0.17022447298839688,8.376664040605122e-05,166.6761805999995,,,,,False
59,0.1733196690455079,8.282928778764783e-05,166.97452950000297,,,,,False
60,0.1690352485012263,8.18711994874345e-05,367.3868659,0.8714700311596979,0.8853851633739812,0.8363343344630099,0.8643965096655629,False
61,0.16889902061782777,8.089298065451672e-05,166.58886390000407,,,,,False
62,0.16843140947259963,7.989524915287595e-05,167.48062710000522,,,,,False
63,0.17181728935427965,7.887863517111338e-05,166.89115490000404,,,,,False
64,0.16700143562257289,7.784378082440941e-05,167.26709729999857,,,,,False
65,0.1632841897495091,7.679133974894983e-05,368.0757800000065,0.8820106100587842,0.8803737380175604,0.8391209465218579,0.867168431532734,False
66,0.16441534856893122,7.572197668907532e-05,167.12910600000032,,,,,False
67,0.1661387575287372,7.463636707741458e-05,167.00846650000312,,,,,False
68,0.16284704948216677,7.353519660826665e-05,167.15398819999973,,,,,False
69,0.1620167633369565,7.241916080450163e-05,167.58410800000274,,,,,False
70,0.16291286836750804,7.128896457825364e-05,368.43881890000193,0.8787647497115786,0.8891976838790231,0.8417361153760264,0.8698995163222093,True
71,0.16220580205507576,7.014532178568314e-05,166.90407929999492,,,,,False
72,0.1601110986210406,6.898895477609007e-05,167.49876400000358,,,,,False
73,0.16236390150710941,6.782059393566253e-05,167.00516240000434,,,,,False
74,0.1591952728908509,6.664097722614934e-05,166.78030969999963,,,,,False
75,0.15822156351990999,6.545084971874738e-05,368.0705237000002,0.8766615633976214,0.8887630883385121,0.8432469636176114,0.869557205117915,False
76,0.15790285384468733,6.42509631234988e-05,166.76956159999827,,,,,False
