epoch,train_loss,seg_loss,kd_loss,skipped_steps,all_dice_wt,all_dice_tc,all_dice_et,all_mean_dice,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et_mean,all_baseline,all_constraint,eligible_for_best,best_drop_t1ce_tc_et_mean,learning_rate,epoch_time_sec
11,0.4009287090301514,0.3678335992395878,0.03309511040626603,0,0.8858047486569061,0.8783113100769516,0.8416650289148815,0.8685936958829131,0.868294025765998,0.6565469993057346,0.48340025395405506,0.5699736266298948,0.7817196060643531,0.7582680178824225,1,0.5699736266298948,4.7749507758714496e-05,1224.925506599946
12,0.40267851934581994,0.37041859970986846,0.032259920685826726,0,0.8841828202382507,0.8776600118255344,0.8401980401300001,0.8673469573979284,0.8673151390680542,0.6635642498842249,0.48741307680627777,0.5754886633452514,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.7329659842615016e-05,1223.6838220999925
13,0.39744315755739806,0.3659305897671729,0.03151256846658362,0,0.883762923578982,0.8767842848591617,0.8416057433772199,0.8673843172717879,0.8674914055968695,0.6618246296312794,0.4789899885674658,0.5704073090993727,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.687615217328354e-05,1224.435767500021
14,0.39944412899389864,0.36867193216085437,0.030772196897598407,0,0.881631566899345,0.8777197650106958,0.84216187714332,0.8671710696844537,0.8654093675694844,0.6514934630478433,0.47467791675902454,0.5630856899034339,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.638968402667527e-05,1222.685696200002
15,0.39015203404799104,0.3582577946577221,0.03189423970205826,0,0.8868219616446903,0.8806714708838412,0.8434420624006059,0.8703118316430459,0.8705046486941931,0.6571882668437352,0.4831768210561979,0.5701825439499666,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.587100550141237e-05,1223.7487818999798
16,0.38522250617295506,0.35399375135079025,0.031228755150485087,0,0.883111496628994,0.8742079001683589,0.8494301418860098,0.8689165128944544,0.8672604364145435,0.6312084995659193,0.45475953923332013,0.5429840193996197,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.5320916362186225e-05,1228.4296081999782
17,0.40812635124102237,0.37948059898614883,0.028645752155012815,0,0.8837771502041019,0.8786845076899735,0.8437321321311992,0.8687312633417582,0.866157671102241,0.6529444345734152,0.48025464282869645,0.5665995387010558,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.474026480657826e-05,1246.7743972999742
18,0.4002495460994542,0.36856072685308755,0.03168881986717497,0,0.8841039905931791,0.8775397829295414,0.8503688491087977,0.8706708742105059,0.866782088935369,0.6478230213306804,0.4733347054792073,0.5605788634049438,0.7817196060643531,0.7582680178824225,1,0.5754886633452514,4.412994615720077e-05,1223.560646900034
19,0.3972679339386523,0.3665255325995386,0.03074240136244771,0,0.885160988321621,0.8813823227025671,0.8439995921400323,0.8701809677214069,0.8685995785461398,0.6599174164811974,0.49187410314578656,0.575895759813492,0.7817196060643531,0.7582680178824225,1,0.575895759813492,4.349090148117431e-05,1223.0724373999983
20,0.3985834806263447,0.3679547026641667,0.030628777724654357,0,0.8844476796729126,0.8802798396309434,0.8436132711426673,0.8694469301488411,0.8677297002384189,0.6683455110371396,0.4916394031630534,0.5799924571000965,0.7817196060643531,0.7582680178824225,1,0.5799924571000965,4.282411613907042e-05,1223.5980006000027
